run,idx,name,opt,model_anneal,gap_pct
cvrp_full_mh_25-25-25-25,23,X-n209-k16,30.686686686686688,31.422807693481445,2.39882857
cvrp_full_mh_25-25-25-25,24,X-n214-k11,15.398581560283688,15.945084571838379,3.54904774
cvrp_full_mh_25-25-25-25,25,X-n219-k73,117.595,117.73174285888672,0.11628289
cvrp_full_mh_25-25-25-25,26,X-n223-k34,40.47747747747748,41.5607795715332,2.67630831
cvrp_full_mh_25-25-25-25,27,X-n228-k23,25.742,26.63471031188965,3.46791357
cvrp_full_mh_25-25-25-25,28,X-n233-k16,19.287863590772318,19.391218185424805,0.53585299
cvrp_full_mh_25-25-25-25,29,X-n237-k14,27.06906906906907,28.364973068237305,4.78739773
cvrp_full_mh_25-25-25-25,30,X-n242-k48,82.751,84.25032043457031,1.81184570
cvrp_full_mh_25-25-25-25,31,X-n247-k50,51.91364902506964,52.744903564453125,1.60122541
cvrp_full_mh_25-25-25-25,32,X-n251-k28,38.878391959798996,39.443809509277344,1.45432339
cvrp_full_mh_25-25-25-25,33,X-n256-k16,18.933668341708543,19.09972381591797,0.87703804
cvrp_full_mh_25-25-25-25,34,X-n261-k13,26.584584584584583,27.31118392944336,2.73316042
cvrp_full_mh_25-25-25-25,35,X-n266-k58,75.70511534603811,77.5129623413086,2.38801168
cvrp_full_mh_25-25-25-25,36,X-n270-k35,35.57560483870968,36.410133361816406,2.34578871
cvrp_full_mh_25-25-25-25,37,X-n275-k28,24.25228310502283,24.799495697021484,2.25633434
cvrp_full_mh_25-25-25-25,38,X-n280-k17,33.503,34.99154281616211,4.44301351
cvrp_full_mh_25-25-25-25,39,X-n284-k15,20.7021494370522,21.447256088256836,3.59917531
cvrp_full_mh_25-25-25-25,40,X-n289-k60,95.34168336673346,98.03437042236328,2.82424954
cvrp_full_mh_25-25-25-25,41,X-n294-k50,47.39798994974874,48.46821975708008,2.25796454
cvrp_full_mh_25-25-25-25,42,X-n298-k31,34.26526526526526,34.86927032470703,1.76273277
cvrp_full_mh_25-25-25-25,43,X-n303-k21,22.134419551934826,22.509035110473633,1.69245711
cvrp_full_mh_25-25-25-25,44,X-n308-k13,25.96285140562249,27.00905990600586,4.02963636
cvrp_full_mh_25-25-25-25,45,X-n313-k71,94.4206827309237,97.0045394897461,2.73653683
cvrp_full_mh_25-25-25-25,46,X-n317-k53,78.43343343343344,93.30070495605469,18.95527312
cvrp_full_mh_25-25-25-25,47,X-n322-k28,29.834,30.591556549072266,2.53923895
